tipo,subtipo,razon_social,descripcion,path,precio_total
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,JUAN CARLOS SAVINO,Adquisición de kit de materiales de promoción de marca,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_JUAN CARLOS SAVINO_Adquisición de kit de materiales de promoción de marca,829100
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,PAPRIKA CINE S.R.L.,Servicios de Producción y Edición de Micros Audiovisuales con Registro Documental,CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_PAPRIKA CINE S.R.L._Servicios de Producción y Edición de Micros Audiovisuales con Registro Documental,631300
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,HAVAS MEDIA ARGENTINA S.A.,"Servicio Profesional de Prensa, Diseño y Marketing Digital","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_HAVAS MEDIA ARGENTINA S.A._Servicio Profesional de Prensa, Diseño y Marketing Digital",22990000
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,English Services SRL,Servicio de Traducción,CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_English Services SRL_Servicio de Traducción,893910
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,Cooperativa De Provisión Zenit Limitada,Servicio de Cadetería y Logística,CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_Cooperativa De Provisión Zenit Limitada_Servicio de Cadetería y Logística,1078190
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,ADV COMUNICACION SRL,Servicio de Producción Integral de Eventos - Murales en escuelas,CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_ADV COMUNICACION SRL_Servicio de Producción Integral de Eventos - Murales en escuelas,245000
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,ADV COMUNICACION SRL,Servicio de Producción Integral de Eventos - Murales en escuelas,CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_ADV COMUNICACION SRL_Servicio de Producción Integral de Eventos - Murales en escuelas,612500
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,CASTRO Y REGINI S.A.,Servicio de Alquiler de Depósito,CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_CASTRO Y REGINI S.A._Servicio de Alquiler de Depósito,784080
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,MEDIASOFT S.A.,"Servicio, Producción y Organización Actividades Recreativas-Deportivas. Programa de Iniciación Deportiva","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_MEDIASOFT S.A._Servicio, Producción y Organización Actividades Recreativas-Deportivas. Programa de Iniciación Deportiva",1005000
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,TIEMPO BETA SRL,Servicio de Producción Integral de Eventos (Dia Olímpico),CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_TIEMPO BETA SRL_Servicio de Producción Integral de Eventos (Dia Olímpico),930250
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,TIEMPO BETA SRL,Servicio de Producción Integral de Eventos (Dia Olímpico),CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_TIEMPO BETA SRL_Servicio de Producción Integral de Eventos (Dia Olímpico),23640
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,PABLO MARTIN DE LA CRUZ,Servicio de organización de 4° Reunión de la Comisión de Coordinación del Comité Olímpico Internacional,CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_PABLO MARTIN DE LA CRUZ_Servicio de organización de 4° Reunión de la Comisión de Coordinación del Comité Olímpico Internacional,447477.81
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,ENDEMOL ARGENTINA S.A.,"Servicios de Producción Audiovisual, Edición y Animación para Eventos y Actividades de UPEJOL","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_ENDEMOL ARGENTINA S.A._Servicios de Producción Audiovisual, Edición y Animación para Eventos y Actividades de UPEJOL",9976413.9
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,UNLOCK ENTERTAINMENT S.R.L.,Servicio de Organización del Evento: 4° Edición del Desayuno con los Socios de Marketing del COI,CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_UNLOCK ENTERTAINMENT S.R.L._Servicio de Organización del Evento: 4° Edición del Desayuno con los Socios de Marketing del COI,64012.53
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,UNLOCK ENTERTAINMENT S.R.L.,Servicio de Organización del Evento: 4° Edición del Desayuno con los Socios de Marketing del COI,CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_UNLOCK ENTERTAINMENT S.R.L._Servicio de Organización del Evento: 4° Edición del Desayuno con los Socios de Marketing del COI,19203.76
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,TELECOM ARGENTINA S.A.,Servicio de comunicaciones e informáticos para los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_TELECOM ARGENTINA S.A._Servicio de comunicaciones e informáticos para los Juegos Olímpicos de la Juventud Buenos Aires 2018,109523150
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,EMEVEVE S.A.,Servicio Integral de Limpieza - Instalaciones UPEJOL,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_EMEVEVE S.A._Servicio Integral de Limpieza - Instalaciones UPEJOL,3767703.16
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,LICICOM S.R.L.,Artículos varios para el servicio al residente de la Villa Olímpica,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_LICICOM S.R.L._Artículos varios para el servicio al residente de la Villa Olímpica,25044.86
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,UNISER S.A.,Artículos varios para el servicio al residente de la Villa Olímpica,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_UNISER S.A._Artículos varios para el servicio al residente de la Villa Olímpica,1053288
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,MARIANA IRENE ALBORNOZ,"Servicio de Producción de Mapeo en el marco del evento ""One Year to Go""","CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_MARIANA IRENE ALBORNOZ_Servicio de Producción de Mapeo en el marco del evento ""One Year to Go""",1098680
CONVOCATORIA ABIERTA,LICITACIÓN PÚBLICA,BENEDETTI S.A.I.C.,Adquisición de Placas Calefactoras y Frigobares UPEJOL,CONVOCATORIA ABIERTA_LICITACIÓN PÚBLICA_BENEDETTI S.A.I.C._Adquisición de Placas Calefactoras y Frigobares UPEJOL,923832
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,ARQSF S.A.,"Servicio de producción, instalación y mantenimiento de espacios de promoción en vía pública.","CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_ARQSF S.A._Servicio de producción, instalación y mantenimiento de espacios de promoción en vía pública.",33838.8
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,ARQSF S.A.,"Servicio de producción, instalación y mantenimiento de espacios de promoción en vía pública.","CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_ARQSF S.A._Servicio de producción, instalación y mantenimiento de espacios de promoción en vía pública.",563980
CONVOCATORIA ABIERTA,CONTRATACIÓN MENOR,ANTIPLAGA NORTE SRL,Servicio de control de plagas para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018,CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_ANTIPLAGA NORTE SRL_Servicio de control de plagas para la Villa Olímpica de los Juegos Olímpicos de la Juventud Buenos Aires 2018,595000
