tipo	subtipo	razon_social	descripcion	path	precio_total
CONVOCATORIA ABIERTA	LICITACION PUBLICA	JUAN CARLOS SAVINO	Adquisición de kit de materiales de promoción de marca	CONVOCATORIA ABIERTA_LICITACION PUBLICA_JUAN CARLOS SAVINO_Adquisición de kit de materiales de promoción de marca	829100
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	PAPRIKA CINE S.R.L.	Servicios de Producción y Edición de Micros Audiovisuales con Registro Documental	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_PAPRIKA CINE S.R.L._Servicios de Producción y Edición de Micros Audiovisuales con Registro Documental	631300
CONVOCATORIA ABIERTA	LICITACION PUBLICA	HAVAS MEDIA ARGENTINA S.A.	Servicio Profesional de Prensa, Diseño y Marketing Digital	CONVOCATORIA ABIERTA_LICITACION PUBLICA_HAVAS MEDIA ARGENTINA S.A._Servicio Profesional de Prensa, Diseño y Marketing Digital	22990000
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	English Services SRL	Servicio de Traducción	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_English Services SRL_Servicio de Traducción	893910
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	Cooperativa De Provisión Zenit Limitada	Servicio de Cadetería y Logística	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_Cooperativa De Provisión Zenit Limitada_Servicio de Cadetería y Logística	1078190
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	ADV COMUNICACION SRL	Servicio de Producción Integral de Eventos - Murales en escuelas	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_ADV COMUNICACION SRL_Servicio de Producción Integral de Eventos - Murales en escuelas	245000
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	ADV COMUNICACION SRL	Servicio de Producción Integral de Eventos - Murales en escuelas	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_ADV COMUNICACION SRL_Servicio de Producción Integral de Eventos - Murales en escuelas	612500
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	CASTRO Y REGINI S.A.	Servicio de Alquiler de Depósito	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_CASTRO Y REGINI S.A._Servicio de Alquiler de Depósito	784080
CONVOCATORIA ABIERTA	LICITACION PUBLICA	MEDIASOFT S.A.	Serv. Producción y Organización Actividades Recreativas-Deportivas. Programa de Iniciación Deportiva	CONVOCATORIA ABIERTA_LICITACION PUBLICA_MEDIASOFT S.A._Serv. Producción y Organización Actividades Recreativas-Deportivas. Programa de Iniciación Deportiva	1005000
CONVOCATORIA ABIERTA	LICITACION PUBLICA	TIEMPO BETA SRL	Servicio de Producción Integral de Eventos (Dia Olímpico)	CONVOCATORIA ABIERTA_LICITACION PUBLICA_TIEMPO BETA SRL_Servicio de Producción Integral de Eventos (Dia Olímpico)	930250
CONVOCATORIA ABIERTA	LICITACION PUBLICA	TIEMPO BETA SRL	Servicio de Producción Integral de Eventos (Dia Olímpico)	CONVOCATORIA ABIERTA_LICITACION PUBLICA_TIEMPO BETA SRL_Servicio de Producción Integral de Eventos (Dia Olímpico)	23640
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	PABLO MARTIN DE LA CRUZ	Serv. de Organización de 4° Reunión de la Comisión de Coordinación del Comité Olímpico Internacional	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_PABLO MARTIN DE LA CRUZ_Serv. de Organización de 4° Reunión de la Comisión de Coordinación del Comité Olímpico Internacional	447477.81
CONVOCATORIA ABIERTA	LICITACION PUBLICA	ENDEMOL ARGENTINA S.A.	Servicios de Producción Audiovisual, Edición y Animación para Eventos y Actividades de UPEJOL	CONVOCATORIA ABIERTA_LICITACION PUBLICA_ENDEMOL ARGENTINA S.A._Servicios de Producción Audiovisual, Edición y Animación para Eventos y Actividades de UPEJOL	9976413.9
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	UNLOCK ENTERTAINMENT S.R.L.	Servicio de Organización del Evento: 4° Edición del Desayuno con los Socios de Marketing del COI	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_UNLOCK ENTERTAINMENT S.R.L._Servicio de Organización del Evento: 4° Edición del Desayuno con los Socios de Marketing del COI	64012.53
CONVOCATORIA ABIERTA	CONTRATACIÓN MENOR	UNLOCK ENTERTAINMENT S.R.L.	Servicio de Organización del Evento: 4° Edición del Desayuno con los Socios de Marketing del COI	CONVOCATORIA ABIERTA_CONTRATACIÓN MENOR_UNLOCK ENTERTAINMENT S.R.L._Servicio de Organización del Evento: 4° Edición del Desayuno con los Socios de Marketing del COI	19203.76
CONVOCATORIA ABIERTA	LICITACION PUBLICA	TELECOM ARGENTINA S.A.	Servicio de comunicaciones e informáticos para los Juegos Olímpicos de la Juventud Buenos Aires 2018	CONVOCATORIA ABIERTA_LICITACION PUBLICA_TELECOM ARGENTINA S.A._Servicio de comunicaciones e informáticos para los Juegos Olímpicos de la Juventud Buenos Aires 2018	109523150
