cat,name,value,desc,descitem,unidad,q
Hockey,Hockey,,,,,
Natación,Natación,,,,,
Clavado,Clavado,,,,,
Tiro,Tiro,,,,,
Vela,Veleros de Competición ,,,,,
Vela,Veleros del Comité de Regata ,,,,,
Vela,Barcos de Marcado y Control,,,,,
Canotaje,Canotaje,,,,,
Gimnasia,ARTÍSTICA,,,,,
Gimnasia,TRAMPOLÍN,,,,,
Gimnasia,RITHMIC,,,,,
Atletismo,EVENTOS DE ATLETISMO,,,,,
Atletismo,SALTO EN ALTO,,,,,
Atletismo,SALTO CON GARROCHA,,,,,
Atletismo,SALTO HORIZONTAL (LARGO / TRIPLE),,,,,
Atletismo,LANZAMIENTO DE DISCO,,,,,
Atletismo,LANZAMIENTO DE MARTILLO,,,,,
Atletismo,LANZAMIENTO DE JABALINA,,,,,
Atletismo,LANZAMIENTO DE BALA,,,,,
Atletismo,Equipos para atletismo,,,,,
Handball,Handball,,,,,
Ciclismo,Ciclismo BMX,,,,,
Ciclismo,Ciclismo MTB,,,,,
Ciclismo,Ciclismo CAMINO,,,,,
Rugby,Rugby,,,,,
Taekwondo,Taekwondo,,,,,
Badminton,Badminton,,,,,
Basketball,Basketball,,,,,
Voleyball de Playa,Voleyball de Playa,,,,,
Boxeo,Boxeo,,,,,
Esgrima,Esgrima,,,,,
Fútbol-Futsal,Fútbol-Futsal,,,,,
Judo,Judo,,,,,
Pentatlón Moderno,ESGRIMA,,,,,
Pentatlón Moderno,TIRO PARA COMBINADO,,,,,
Remo,Remo,,,,,
Baile deportivo,Baile deportivo,,,,,
Tenis de mesa,Tenis de mesa,,,,,
Tenis,Tenis,,,,,
Equipo Triatlón ,Equipo Triatlón ,,,,,
Levantamiento Olímpico,Levantamiento Olímpico,,,,,
Lucha,Lucha,,,,,
Escalada Deportiva,Escalada Deportiva,,,,,
Arquería,Arquería,,,,,
Roller,Roller,,,,,
